tweet_id,Retweets_count,Favorites_count,Date_time
759447681597108224,2420,8366,2016-07-30 17:56:51
759446261539934208,478,1649,2016-07-30 17:51:13
759197388317847553,1912,5993,2016-07-30 01:22:17
759159934323924993,1135,0,2016-07-29 22:53:27
759099523532779520,4084,14311,2016-07-29 18:53:24
759047813560868866,1974,6404,2016-07-29 15:27:55
758854675097526272,884,3502,2016-07-29 02:40:28
758828659922702336,3776,11057,2016-07-29 00:57:05
758740312047005698,1592,5663,2016-07-28 19:06:01
758474966123810816,984,3747,2016-07-28 01:31:38
758467244762497024,2176,4728,2016-07-28 01:00:57
758405701903519748,1875,5139,2016-07-27 20:56:24
758355060040593408,1040,3340,2016-07-27 17:35:10
758099635764359168,9787,18789,2016-07-27 00:40:12
758041019896193024,367,2662,2016-07-26 20:47:17
757741869644341248,3193,6780,2016-07-26 00:58:34
757729163776290825,7753,0,2016-07-26 00:08:05
757725642876129280,1190,4476,2016-07-25 23:54:05
757611664640446465,1086,4500,2016-07-25 16:21:11
757597904299253760,295,0,2016-07-25 15:26:30
757596066325864448,1037,4262,2016-07-25 15:19:12
757400162377592832,6717,14908,2016-07-25 02:20:45
757393109802180609,1703,5722,2016-07-25 01:52:43
757354760399941633,1395,4460,2016-07-24 23:20:20
756998049151549440,1951,6183,2016-07-23 23:42:53
756939218950160384,1968,6548,2016-07-23 19:49:07
756651752796094464,1274,4967,2016-07-23 00:46:50
756526248105566208,3505,10254,2016-07-22 16:28:07
756303284449767430,1089,3875,2016-07-22 01:42:09
756288534030475264,17362,43364,2016-07-22 00:43:32
756275833623502848,1503,6307,2016-07-21 23:53:04
755955933503782912,2821,7199,2016-07-21 02:41:54
755206590534418437,5256,16184,2016-07-19 01:04:16
755110668769038337,10884,20875,2016-07-18 18:43:07
754874841593970688,7748,0,2016-07-18 03:06:01
754856583969079297,2465,6805,2016-07-18 01:53:28
754747087846248448,511,2547,2016-07-17 18:38:22
754482103782404096,1918,5207,2016-07-17 01:05:25
754449512966619136,721,3681,2016-07-16 22:55:55
754120377874386944,2314,7769,2016-07-16 01:08:03
753655901052166144,2132,5753,2016-07-14 18:22:23
753420520834629632,3484,7782,2016-07-14 02:47:04
753398408988139520,1867,5664,2016-07-14 01:19:12
753375668877008896,2285,7524,2016-07-13 23:48:51
753298634498793472,5573,0,2016-07-13 18:42:44
753294487569522689,1020,3310,2016-07-13 18:26:16
753039830821511168,20454,36529,2016-07-13 01:34:21
753026973505581056,942,3866,2016-07-13 00:43:15
752932432744185856,6726,12427,2016-07-12 18:27:35
752917284578922496,1545,6831,2016-07-12 17:27:23
752701944171524096,2798,0,2016-07-12 03:11:42
752682090207055872,1563,5915,2016-07-12 01:52:49
752660715232722944,1527,4311,2016-07-12 00:27:52
752568224206688256,2231,5403,2016-07-11 18:20:21
752519690950500352,3380,7253,2016-07-11 15:07:30
752334515931054080,1074,3760,2016-07-11 02:51:40
752309394570878976,15892,0,2016-07-11 01:11:51
752173152931807232,1798,5857,2016-07-10 16:10:29
751950017322246144,894,3014,2016-07-10 01:23:49
751937170840121344,1295,5102,2016-07-10 00:32:46
751830394383790080,1904,5714,2016-07-09 17:28:29
751793661361422336,2841,5721,2016-07-09 15:02:31
751598357617971201,2986,7796,2016-07-09 02:06:27
751583847268179968,1075,4315,2016-07-09 01:08:47
751538714308972544,1234,4956,2016-07-08 22:09:27
751456908746354688,981,3166,2016-07-08 16:44:23
751251247299190784,5757,12307,2016-07-08 03:07:09
751205363882532864,1776,6213,2016-07-08 00:04:50
751132876104687617,1276,4978,2016-07-07 19:16:47
750868782890057730,1334,4703,2016-07-07 01:47:22
750719632563142656,4913,12940,2016-07-06 15:54:42
750506206503038976,1123,4376,2016-07-06 01:46:38
750429297815552001,4193,12946,2016-07-05 20:41:01
750383411068534784,1126,4494,2016-07-05 17:38:41
750381685133418496,27,684,2016-07-05 17:31:49
